name|capital|surface|neighbors|timezone|density|population|languages|governance
Ciad|N'Djamena|1284000|Camerun Libia Niger Nigeria Sudan Republica Centrafricană Liga Arabă  |"UTC+1 (UTC+1) Africa/Ndjamena[*][[Africa/Ndjamena |​]][1] "|0|15477751|limba franceză, limba arabă|democrație parlamentară
Cipru|Nicosia|9253|Akrotiri și Dhekelia Republica Turcă a Ciprului de Nord Israel  |EET (UTC+2)|118.8|1141166|Greacă, Turcă|Republică prezidențială
Coasta de Fildeș|Yamoussoukro|322460|Burkina Faso Ghana Guineea Liberia Mali  |GMT (UTC+0)|63.9|20617068|franceză|Republică semi-prezidențială
Columbia|Bogotá|1141748|Ecuador Panama Peru Venezuela Brazilia Nicaragua  |"UTC−5 (UTC-5) America/Bogota[*][[America/Bogota |​]][5] (UTC-5)  "|40.74|47425437|spaniolă|republică prezidențială
Comore|Moroni|2170|Madagascar [1] Franța [1] Mozambic [1] Seychelles [1] Tanzania [1]  |UTC+3|275|850688|limba arabă, limba franceză|republică federală
Republica Democrată Congo|Kinshasa|2344858|Republica Centrafricană Sudanul de Sud Uganda Rwanda Burundi Tanzania Zambia Angola Republica Congo Sudan Camerun Rwanda  |UTC + 1+2|24|86790567|Franceză, Kikongo, Lingala, Tshiluba, Swahili|republică prezidențială
Republica Congo|Brazzaville|342000|Angola Camerun Republica Centrafricană Republica Democrată Congo Gabon  |WAT|12.8|5260750|franceză|Republică Prezidențială
Coreea de Nord|Phenian|120540|Coreea de Sud Rusia Republica Populară Chineză Uniunea Republicilor Sovietice Socialiste  |UTC+8:30[3]|198.3|24051218|Limba coreeană|Republică Socialistă, Juche, Stat Unitar, Sistem Monopartid
Coreea de Sud|Seul|100210|Coreea de Nord Republica Populară Chineză Japonia  |UTC+9|491|51466201|coreeană|Republică prezidențială
Costa Rica|San José|51100|Panama Nicaragua  |UTC−6|84|4586353|Spaniola|Republică prezidențială
Croația|Zagreb|56542|Slovenia Ungaria Serbia Bosnia și Herțegovina Muntenegru Liberland  |UTC+1 (UTC+1)  |75.9|4483804|Croata|Republică
Cuba|Havana|109884|Statele Unite ale Americii  |CST|102|11210064|Spaniolă|Unitar republică, Stat comunist[4]
Danemarca|Copenhaga|43094|Suedia Norvegia Germania  |UTC+1|129.5|5580516|daneză|monarhie constituțională
Djibouti|Djibouti|23200|Etiopia Eritreea Somalia  |EAT (UTC+3)|37.2|923000|arabă, franceză|Republică semi-prezidențială
Dominica|Roseau|754|Venezuela  |UTC-4|91.55|73925|engleză, franceză|Republică parlamentară
Republica Dominicană|Santo Domingo|48730|Haiti Venezuela Statele Unite ale Americii  |UTC-4|201|9760000|spaniola|Republică prezidențială
Ecuador|Quito|272046|Peru Columbia  |UTC−5, UTC−6 (Insulele Galápagos)|53.8|15007343|Spaniolă|republică 
Egipt|Cairo|1010407|Sudan Libia Israel Fâșia Gaza Bir Tawil  |UTC+2|100|101576517|limba arabă|Republică semi-prezidențială unitar
El Salvador|San Salvador|21040|Honduras Guatemala  |UTC - 6|318.7|6420746|Spaniolă|Republică prezidențială
Elveția|Berna|41285|Austria Liechtenstein Germania Franța Italia Uniunea Europeană  |UTC + 1|206|8508898|germana, franceza, italiana, retoromana|Republică federală
Emiratele Arabe Unite|Abu Dhabi|836|Oman Arabia Saudită Iran  |UTC + 4|99|9890400|limba arabă|Federală Islamic electivă monarhie constituțională[1][2][3]
Eritreea|Asmara|117600|Sudan Djibouti Etiopia Liga Arabă  |UTC+3|52|3497000|tigrinya, araba, italiana, engleza|Republică prezidențială
Estonia|Tallinn|45226|Letonia Rusia  |UTC+2|29|1294455|estonă|republică
Eswatini|Lobamba|17364|Africa de Sud Mozambic  |UTC +2|68.2|1119000|Engleză|Monarhie absolutistă
Etiopia|Addis Abeba|1127127|Sudan Sudanul de Sud Kenya Somalia Djibouti Eritreea Liga Arabă  |UTC + 3|82.58|91195675|limba amharică|republică federală
Fiji|Suva|18270||UTC+12|49|905502|fiji hindi, Hindi, Engleza|Republică parlamentară
Filipine|Manila|300400|Taiwan Indonezia Malaezia Palau  |UTC+8|279|109035343|filipineză, engleză|Republică Unitară Prezidențială Constituțională
Finlanda|Helsinki|338432|Suedia Norvegia Rusia  |UTC+2|16.0|5421827|limba finlandeză, limba suedeză, |republică parlamentară
Franța|Paris|674843|Spania Andorra Belgia Luxemburg Germania Elveția Italia Monaco Brazilia Surinam Regatul Țărilor de Jos  |UTC+12|103.8|67063703|Franceza|Republică
Gabon|Libreville|267667|Camerun [2] Republica Congo [2] Guineea Ecuatorială [2] São Tomé și Príncipe Angola  |Ora Africii de Vest (UTC+ 1)|5.5|2025137|limba franceză|Republică
Gambia|Banjul|10380|Senegal  |UTC + 0|132|2100568|limba engleză|Unknown
Georgia|Tbilisi|69700|Armenia Azerbaidjan Rusia Turcia  |EET (UTC+4)|70.8|3717100|limba georgiană, Limba abhază, |Republică semiprezidențială
Germania|Berlin|357121|Danemarca Polonia [7] Elveția Franța Luxemburg Belgia Țările de Jos Austria Cehia  |CET (UTC+1)|225.1|83149300|germană, [1]|Republică federală, republică parlamentară
Ghana|Accra|238535|Burkina Faso Coasta de Fildeș Togo  |UTC+0|101.5|26908262|limba engleză|Republică prezidențială constituțională
Grecia|Atena|131990|Albania [6] [7] Bulgaria [6] [7] Macedonia de Nord [6] [7] Turcia [6] [7]  |EET (UTC+2)|85.3|10760421|Greaca|Republică parlamentară unitară
Grenada|Saint George's|344|Venezuela  |UTC-4|259.5|107825|Engleza|Monarhie constituțională
Guatemala|Ciudad de Guatemala|108889|Belize El Salvador Honduras Mexic  |CST (UTC−6)|129|17263239|Spaniolă|Republică constituțională prezidențială unitară
Guineea|Conakry|245857|Coasta de Fildeș Guineea-Bissau Liberia Mali Senegal Sierra Leone  |UTC + 0|30.4|12717176|limba franceză|republică 
Guineea-Bissau|Bissau|36125|Guineea Senegal  |GMT (UTC+0)|44|1647000|limba portugheză|Republică semi-prezidențială
Guineea Ecuatorială|Malabo|28051|Camerun Gabon  |UTC + 1|18.6|1267689|Spaniolă, Franceză, portugheză|republică
Guyana|Georgetown|214999|Brazilia Surinam Venezuela  |UTC-4|3.5|858863|engleză|Republică semi-prezidențială
Haiti|Port-au-Prince|27750|Republica Dominicană Statele Unite ale Americii  |UTC-5|286|10981229|franceză, creola haitiană|Republică prezidențială
Honduras|Tegucigalpa|112492|Guatemala El Salvador Nicaragua  |CST (UTC+ 6)|64|8249574|spaniolă|Republică prezidențială
India|New Delhi|3596590|Nepal Bangladesh Bhutan Myanmar Pakistan Republica Populară Chineză Indonezia Sri Lanka  |UTC + 5:30|336.5|1326093247|limba hindi, limba engleză, alte 22 de limbi|Republică federală
Indonezia|Jakarta|1919440|Timorul de Est Malaezia Papua Noua Guinee Singapore Filipine Australia Thailanda India Palau Vietnam  |UTC+7 - UTC+9|131|238000000|Indoneziană, Neerlandeză|Republică prezidențială
Iordania|Amman|89342|Israel Arabia Saudită Siria Irak Cisiordania  |UTC (UTC+ 2)|114|7930941|Arabă|Monarhie constituțională
Irak|Bagdad|438317|Turcia Siria Iordania Arabia Saudită Kuweit Iran  |UTC +3/+4|66|38274618|Araba, Kurda, [2]|republică parlamentară
Iran|Teheran|1648195|Afganistan [7] Pakistan [7] Turcia [7] Irak [7] Azerbaidjan [7] Armenia [7] Turkmenistan [7] Liga Arabă Naxcivan Uniunea Republicilor Sovietice Socialiste Arabia Saudită Kuweit Bahrain Oman Qatar Emiratele Arabe Unite  |UTC+3:30|48|83183741|persană|Stat unitar, Republică islamică
Irlanda|Dublin|70273|Regatul Unit Irlanda de Nord  |UTC|65.6|4609600|Irlandeza, Engleza, [1]|Republică parlamentară
Islanda|Reykjavík|103004|Groenlanda Insulele Feroe Svalbard  |UTC±0 (UTC+0)  |3.1|357050|Limba islandeză, |republică
Israel|Ierusalim|20770|Siria Iordania Egipt Liban  |IST (UTC+2)|400|9092000|Ivrit = ebraică (neo-ebraică), [1], arabă, [2]|Republică parlamentară
Italia|Roma|301338|San Marino Vatican Franța Elveția Austria Slovenia Malta  |UTC+1/+2|197.232|0|Italiana, [ib 1]|Republică
